name,batch,industry,region,one_liner,website,status,team_size
Pollinate,W26,"B2B, Supply Chain and Logistics",,AI Agents for the supply chain.,https://www.pollinate.tech/,Active,2
SpotPay,W26,"Fintech, Consumer Finance",,Cross-border Personal Finance on Stablecoins,https://www.spotpay.ai/,Active,2
VOYGR,W26,B2B,,Real-world place intelligence for AI apps and agents,https://voygr.tech,Active,
MochaCare,W26,"B2B, Operations",,AI-Supercharged Humans for Home Care Agency Growth,https://www.mochacare.com/,Active,2
Vela,W26,B2B,,AI Scheduling Coordinators for Staffing and Recruiting,https://tryvela.ai/ps,Active,4
Veriad,W26,B2B,,AI compliance officers,https://veriad.com,Active,2
Talking Computers,W26,B2B,,AI Communication Lab,https://talkingcomputers.ai,Active,2
Copperlane,W26,"B2B, Finance and Accounting",,Agents for Mortgage Origination,https://www.copperlane.ai,Active,2
Tsenta,S26,"Consumer, Job and Career Services",,"AI-Native, On-Device Job Automation",https://tsenta.com,Active,2
Canary,W26,"B2B, Engineering, Product and Design",,The first AI QA engineer that understands your codebase,https://www.runcanary.ai,Active,4
Grade,W26,"Fintech, Payments",,Payroll for performance-based work,https://usegrade.com,Active,2
Sila,W26,"B2B, Productivity",,Agentic Workspace Messaging,https://silahq.com,Active,2
Maven,W26,"B2B, Infrastructure",,Payments Infrastructure for Voice Agents,https://trymaven.com,Active,2
Moda,W26,"B2B, Infrastructure",,The reliability & monitoring layer your AI agents need.,https://usemoda.ai,Active,2
The Token Company,W26,"B2B, Infrastructure",,Compression middleware that improves LLM outputs,https://thetokencompany.com,Active,2
BeeSafe AI,W26,"B2B, Security",,Stopping Scams Before They Reach Your Customers,https://beesafe.ai/,Active,3
Fed10,W26,"B2B, Legal",,AI agents that replace your policy consultants,https://www.fed10.ai,Active,3
Squid,W26,"Industrials, Energy",,AI agents for power grid planning  🦑,https://squid.energy,Active,2
Crow,W26,B2B,,Let users control your app through chat,https://www.usecrow.ai/,Active,2
Scout Out,W26,Real Estate and Construction,,"Keeping contractors on the job site, not behind a desk.",https://scoutout.ai/,Active,2
Booko,W26,B2B,,Dynamic pricing for businesses that sell time slots,https://bookoapp.com,Active,2
Corelayer,W26,"B2B, Engineering, Product and Design",,AI on-call engineer that debugs using data,https://www.corelayer.com,Active,2
General Legal,W26,"B2B, Legal",,The AI native law firm for growth stage companies,https://general.legal,Active,3
Fort,W26,"Consumer, Consumer Electronics",,Strength Tracking Wearable,https://fort.cx,Active,3
Balance,W26,"B2B, Finance and Accounting",,Full-Stack AI Accounting,https://getbalance.ai,Active,4
Chasi,W26,B2B,,AI Revenue Engine for the Equipment Industry,https://chasi.co/,Active,2
Remy AI,W26,"Industrials, Manufacturing and Robotics",,Automating dexterous tasks in warehouses,https://www.tryremy.ai/,Active,2
Glue,W26,"B2B, Engineering, Product and Design",,The Interface Design Canvas for AI agents,https://buildwithglue.com,Active,2
o11,W26,"B2B, Finance and Accounting",,The AI Agent Inside Every App,https://o11.ai,Active,2
Doomersion,W26,Consumer,,Doomscroll to learn languages,https://doomersion.com/,Active,4
Sequence Markets,W26,Fintech,,Low latency infrastructure for fragmented crypto markets,https://sequencemkts.com/,Active,5
Ditto Biosciences,W26,"Healthcare, Drug Discovery and Delivery",,Evolutionary therapies for autoimmune disease,https://www.dittobio.com/,Active,3
Servo7,W26,"Industrials, Manufacturing and Robotics",,Simple and rapidly deployed robots for industry work,https://servo7.com,Active,
Arzule,W26,B2B,,"AI native platform to find, track, and grow revenue from partnerships",https://www.arzule.com,Active,2
Superset,X26,"B2B, Engineering, Product and Design",,IDE for the AI Agents Era,https://www.superset.sh/,Active,3
Voxel Energy,W26,"Industrials, Energy",,Energy independent data centers with solar and repurposed batteries.,https://voxelenergy.com/,Active,3
Polymath,W26,B2B,,Automating RL environment generation,https://polymathlabs.ai/,Active,2
Bubble Lab,W26,"B2B, Engineering, Product and Design",,Your ops super-employee in Slack,https://bubblelab.ai/,Active,2
Pocket,W26,Consumer,,Take Notes in the Real World,https://heypocket.com/now,Active,6
Byteport,W26,B2B,,Global upload acceleration for 1GB-100TB files.,https://byteport.io/,Active,1
Constellation Space,W26,"B2B, Analytics",,AI for space mission assurance.,https://constellationspace.ai/,Active,4
Mendral,W26,B2B,,AI DevOps Engineer,https://mendral.com/,Active,2
AxionOrbital Space,W26,"Industrials, Aviation and Space",,Foundation models for 24/7 Earth Observation,https://axionorbital.space/,Active,2
Oximy,W26,"B2B, Infrastructure",,The system of record for enterprise AI usage.,https://oximy.com,Active,5
Caretta,W26,"B2B, Sales",,Realtime AI for Sales Calls,https://www.caretta.so,Active,4
Samora AI,W26,B2B,,Multilingual voice agents with safe human escalation when needed,https://samora.ai/,Active,8
Human Archive,W26,"Industrials, Manufacturing and Robotics",,Multimodal data provider for robotics and world modeling,https://www.humanarchive.ai/,Active,4
Forum,W26,Fintech,,The first regulated exchange to trade on attention.,https://www.forum.market/,Active,2
sitefire,W26,"B2B, Marketing",,Marketing suite for the agentic web,https://sitefire.ai,Active,2
Robby,W26,"B2B, Productivity",,Agentic revenue growth for home service businesses.,https://tryrobby.com,Active,3
Ressl AI,W26,B2B,,AI Transformation for the Trades,https://ressl.ai,Active,4
Emdash,W26,"B2B, Productivity",,Open-source Agentic Development Environment,https://emdash.sh,Active,2
Congruent,W26,Industrials,,We build radars for end-to-end autonomy,https://congruent.io,Active,2
Reframe,W26,"B2B, Marketing",,AI agents to automate hardware procurement,http://usereframe.ai,Active,2
Valence,W26,"Fintech, Consumer Finance",,Unified prediction markets trading platform,https://valence.trade,Active,3
9 Mothers,X26,"Industrials, Defense",,AI weapon systems,https://9mothers.com,Active,
Approxima,W26,"B2B, Engineering, Product and Design",,Your software should build itself.,https://approxima.ai,Active,2
Traverse,W26,B2B,,Data research lab for the non-verifiable,https://www.traverse.so,Active,2
Revion,W26,B2B,,Intelligence for Automotive Operations,https://revion.inc,Active,4
Maywood,W26,"Fintech, Banking and Exchange",,AI for M&A,https://maywoodai.com/,Active,5
Fenrock AI,W26,Fintech,,The most powerful AI agents for Financial Crime Compliance,https://fenrock.ai/,Active,2
End Close,W26,"B2B, Finance and Accounting",,AI powered reconciliation for high-volume payments companies,https://endclose.com,Active,2
Chamber,W26,"B2B, Infrastructure",,Autopiloting your AI infrastructure,https://www.usechamber.io,Active,4
Patientdesk.ai,W26,"Healthcare, Healthcare IT",,AI voice agent for patient calls & admin workflows,https://patientdesk.ai/,Active,3
Visibl Semiconductors,W26,"B2B, Engineering, Product and Design",,AI agents for chip design.,https://visiblsemi.com,Active,2
Synthetic Sciences,W26,"B2B, Engineering, Product and Design",,Synthetic Sciences is Claude Code for Science,https://syntheticsciences.ai/,Active,2
Seeing Systems,W26,"Industrials, Defense",,AI Drone Systems for Defence,https://www.seeing-systems.com,Active,2
Jinba,W26,B2B,,Automate any enterprise workflow through chat,https://jinba.io,Active,6
Cardboard,W26,B2B,,Agentic video editor,https://usecardboard.com,Active,2
Prana,W26,"Healthcare, Consumer Health and Wellness",,An AI primary care doctor in your pocket,https://pranadoc.com,Active,4
Rhizome AI,W26,B2B,,Always know what the FDA thinks,https://rhizomeai.com/,Active,1
Pax Historia,W26,"Consumer, Gaming",,The first AI-powered grand strategy platform,https://www.paxhistoria.co,Active,3
Hex Security,W26,"B2B, Security",,Agentic Offensive Security at Scale,https://hex.co,Active,3
Laurence,W26,"B2B, Analytics",,RL for performance marketing,https://trylaurence.com,Active,2
Terminal Use,W26,"B2B, Infrastructure",,Vercel for background agents,https://www.terminaluse.com/,Active,4
Overshoot,W26,B2B,,Enable developers to build and run AI vision applications,https://overshoot.ai,Active,2
Cajal,W26,B2B,,Scaling formal verification to accelerate scientific discovery,https://caj.al/,Active,2
Proximitty,W26,"Fintech, Credit and Lending",,Autonomous business loan servicing,https://proximitty.ai,Active,2
Stilta,W26,B2B,,Agentic AI for patent attorneys,https://stilta.com,Active,4
Unisson,W26,"B2B, Productivity",,AI agents that automate B2B software implementation,https://www.unisson.ai,Active,2
IncidentFox,W26,"B2B, Infrastructure",,"AI SRE agent that triages, coordinates, and fixes production incidents",https://incidentfox.ai,Active,2
Compresr,W26,"B2B, Infrastructure",,LLM-native context compression,https://compresr.ai,Active,4
Opalite Health,W26,Healthcare,,Solving language barriers in healthcare,http://opalitehealth.com/,Active,3
Confluence Labs,W26,B2B,,foundation models optimized for learning efficiency,https://confluence.sh,Active,2
Mango Medical,W26,"Healthcare, Healthcare IT",,We simulate orthopedic surgeries based on CT scans,https://mangomedical.io,Active,3
Sponge,W26,B2B,,Financial infrastructure for the agent economy,https://paysponge.com/,Active,3
Terranox AI,W26,"Industrials, Energy",,AI-powered uranium exploration,https://terranox.ai,Active,2
Ventura,W26,Industrials,,AI Employees for Industrial Distributors,https://www.ventura.ai,Active,2
Q2Q,W26,"B2B, Finance and Accounting",,We help private equity teams find acquisition targets faster,https://www.tryq2q.com/,Active,2
Orthogonal,W26,"B2B, Infrastructure",,Agentic Payments for APIs,https://orthogonal.com,Active,2
Perfectly,W26,B2B,,The AI-native Recruiting Operating System,https://www.perfectly.so/,Active,3
Fern (Formerly Ishiki Labs),W26,B2B,,Realtime AI meeting assistant starting with sales,https://getfern.ai,Active,2
Sparkles,W26,"B2B, Engineering, Product and Design",,Make everyone on your team an engineer,https://sparkles.dev,Active,1
EigenPal,W26,"B2B, Operations",,AI Document Workflows for Enterprises,https://www.eigenpal.com/,Active,
Salus,W26,"B2B, Infrastructure",,Guardrails to validate your agent's actions before they execute,https://www.usesalus.ai/,Active,2
Arcline,W26,"B2B, Legal",,Startup legal work handled by elite lawyers & same-day turnaround,https://www.arcline-ai.com/,Active,5
RamAIn,W26,B2B,,Super fast computer-use agents to build AI employees.,https://ramain.ai,Active,2
DroneTector,W26,"Industrials, Drones",,Technology to detect and track hostile drones,https://www.dronetector.com/,Active,3
Beyond Reach Labs,W26,"Industrials, Aviation and Space",,Space solar arrays that grow to the size of a football field in orbit,https://www.beyondreachlabs.com,Active,2
OctaPulse,W26,"Industrials, Climate",,Robotics and computer vision to automate fish farming from hatchery…,https://www.tryoctapulse.com/,Active,2
CodeWisp,W26,"Consumer, Gaming",,Anyone can create real games with AI,https://codewisp.ai/,Active,3
Ashr,W26,"B2B, Engineering, Product and Design",,Automated Multi-Modal Testing for Agents,https://ashr.io,Active,2
Aemon,W26,B2B,,The AI Research Engineer,https://aemon.ai/,Active,3
Luel,W26,"B2B, Infrastructure",,Turning everyday words and actions into usable training data.,https://luel.ai,Active,2
RoboDock,W26,"Industrials, Energy",,Robots that run autonomous depots for autonomous fleets.,https://www.robodock.tech/,Active,2
Skillsync,W26,"B2B, Human Resources",,Find anyone in open source,https://skillsync.wiki,Active,2
MouseCat,W26,B2B,,The AI Toolkit for Risk Teams,https://www.mousecat.ai,Active,2
Zatanna,W26,"B2B, Engineering, Product and Design",,Turn legacy software into agent-first APIs,https://www.zatanna.ai/,Active,3
AutoSitu,W26,"B2B, Legal",,AI-native workspace for development plan reviews,https://autositu.com/,Active,2
Verdex,W26,"Fintech, Insurance",,Satellite Imagery Verification for Insurance,https://www.verdexai.com/,Active,2
Cumulus Labs,W26,"B2B, Infrastructure",,Performant serverless GPU inference,https://cumuluslabs.io,Active,2
Tepali,W26,B2B,,AI-native operating system for medspas,https://tepali.com,Active,2
21st,W26,"B2B, Engineering, Product and Design",,Infrastructure and UI building blocks for the agentic internet,https://21st.dev,Active,3
Avoice,W26,B2B,,Harvey for Architecture,https://avoice.co/,Active,4
Kyten Technologies,W26,"Industrials, Manufacturing and Robotics",,American battery pack factory,https://kytentech.com,Active,2
ZeroSettle,W26,"Fintech, Payments",,Keep 30% More of Your Mobile App Revenue with Direct Billing,https://zerosettle.io,Active,2
Carson,W26,B2B,,"more capable than Cowork, more secure than OpenClaw",https://usecarson.com,Active,4
Bujo AI,X26,B2B,,AI voice & chat agents for sales and customer support at large B2C…,https://www.getbujo.com/,Active,3
OpenSpec,W26,B2B,,Plan mode for complex features,http://openspec.dev,Active,
Piris Labs,W26,"B2B, Infrastructure",,Cerebras-speed inference but scalable,https://pirislabs.io/,Active,2
CellType,W26,"Healthcare, Drug Discovery and Delivery",,The agentic drug company. We simulate human biology.,https://www.celltype.com,Active,2
Burt,W26,"B2B, Supply Chain and Logistics",,AI teammates for logistics,https://www.trainburt.com/,Active,2
Envariant,W26,B2B,,Interpretability and reasoning infra for foundation models.,https://envariant.ai/,Active,1
Cascade,W26,"B2B, Infrastructure",,Making Autonomous Intelligence Safe & Reliable,https://runcascade.com/,Active,2
Beacon Health,W26,Healthcare,,AI Agents for Primary Care,https://www.beaconhealth.ai/,Active,2
Strand AI,W26,"Healthcare, Drug Discovery and Delivery",,Curated multimodal datasets for biology AI,https://strandai.com,Active,2
Clam (formerly Baseframe),W26,B2B,,Enterprise-grade security for broad-access AI Agents like OpenClaw,https://tryclam.com,Active,2
Protent,W26,"B2B, Security",,Protent turns passive surveillance into proactive intelligence.,https://protent.ai,Active,2
Cofia,W26,"B2B, Productivity",,AI automations that write themselves,https://cofia.ai,Active,2
LegalOS,W26,"B2B, Legal",,The AI-powered law firm for complex work visas,https://www.legalos.ai,Active,3
Sentrial,W26,"B2B, Engineering, Product and Design",,Production Monitoring for AI Agents,https://sentrial.com/,Active,2
10x Science,W26,B2B,,The AI-native platform for next-generation protein characterization.,https://10xscience.com,Active,3
REV1,W26,"B2B, Engineering, Product and Design",,Claude code for Mechanical Engineers,https://rev1.so,Active,2
shortkit,W26,"B2B, Engineering, Product and Design",,We make enterprise-scale short-form video really simple.,https://www.shortkit.dev,Active,2
Asimov,W26,"B2B, Supply Chain and Logistics",,Internet-scale marketplace for robot training data,https://tryasimov.ai/,Active,3
Lexius,W26,"B2B, Security",,AI Security Guards,https://www.lexius.ai,Active,3
Axis,W26,Fintech,,An AI System for Institutional Trading Desks,https://axisanalysis.com,Active,2
Sonarly,W26,"B2B, Engineering, Product and Design",,The AI that fixes production,https://sonarly.com,Active,2
Docura Health,W26,Healthcare,,AI-Native Medico-Legal Firm,https://docurahealth.com,Active,1
Lance,W26,B2B,,Your Hotel's Best Employees,https://www.lance.live,Active,3
RunAnywhere,W26,"B2B, Infrastructure",,The default way of running On-Device AI at Scale,https://www.runanywhere.ai/,Active,2
Lucent,W26,B2B,,AI that automatically improves products from user behavior,https://lucenthq.com,Active,2
Ruma Care,W26,Healthcare,,We help clinics get patients on biologics faster,https://rumacare.com,Active,2
Bits,W26,"B2B, Infrastructure",,Fast and Safe OpenClaw on the cloud,https://usebits.com,Active,2
Kita,W26,Fintech,,Turn documents into signals for lenders,https://www.usekita.com/,Active,2
Syntropy,W26,"B2B, Productivity",,Ship code like a power user from day one.,https://syntropy.io,Active,2
One Robot,W26,"Industrials, Manufacturing and Robotics",,World models for VLA evals and training.,https://www.onerobot.io/,Active,2
Didit,W26,"B2B, Infrastructure",,All-in-one identity platform for fast human verification.,https://didit.me/,Active,12
Tensol,W26,"B2B, Infrastructure",,"AI Employees for your Business, Powered by OpenClaw",https://www.tensol.ai,Active,2
Panta,W26,"Fintech, Insurance",,Commercial insurance brokerage run by AI agents. Scales like software.,https://pantainsure.com,Active,4
Payna,W26,"B2B, Finance and Accounting",,Crypto/fintech compliance simplified.,https://www.ycombinator.com/companies/payna,Active,
Origin,W26,"Healthcare, Drug Discovery and Delivery",,AI for safer cell & gene therapies,https://origin.bio/,Active,4
Hlabs,W26,Industrials,,Making an industrial supply chain for building robots in the USA,https://www.hlaboratories.com,Active,1
Eos AI,W26,Healthcare,,The autonomous operating system for healthcare,https://www.helloeos.ai/,Active,2
Valgo,W26,"B2B, Engineering, Product and Design",,Risk quantification platform to insure physical AI,https://valgo.ai,Active,3
ARC Prize Foundation,W26,Industrials,,AI benchmarks that measure general intelligence and inspire new ideas,https://arcprize.org/,Active,4
Corvera,W26,"B2B, Operations",,AI agents for CPG brands,https://www.corvera.ai/,Active,4
FullSeam,W26,"B2B, Finance and Accounting",,FullSeam is an AI employee for finance and accounting teams.,https://fullseam.com,Active,3
CatchBack Cards,W26,"Consumer, Gaming",,a platform for maximizing the thrill of collecting trading cards,https://catchbackcards.com,Active,2
Mantis,W26,"B2B, Infrastructure",,Physics-Enhanced Datasets for Low-Resource Machine Learning,https://mantisbiotech.com/,Active,3
Haladir,W26,"B2B, Operations",,Building Operational Superintelligence.,https://www.haladir.com/,Active,4
ClaimGlide,W26,"Healthcare, Healthcare Services",,AI automated prior-auths for private medical practices,https://claimglide.com/,Active,1
Inviscid AI,W26,"Industrials, Energy",,Real-time Building Simulations to Optimize Energy and Operational…,https://inviscidai.com/,Active,2
Coasts,F25,"B2B, Engineering, Product and Design",,Localhost service isolation and orchestration for git worktrees,https://coasts.dev,Active,2
Zephyr Fusion,F25,"Industrials, Energy",,Powering tomorrow's industrial revolution in space,https://www.zephyrfusion.com,Active,2
Mayflower,F25,Government,,AI plug-in that automates HR immigration screening and compliance,https://mayflowervisa.com,Active,2
Ndea,W26,Industrials,,Building AGI that can innovate.,https://ndea.com,Active,15
item,F25,"B2B, Sales",,The AI-Native CRM that works for you,https://item.app,Active,6
Crosslayer Labs,W26,"B2B, Security",,"Protect, monitor and defend your Internet presence",https://www.crosslayerlabs.com/,Active,3
Rivet,F25,"B2B, Engineering, Product and Design",,Visual editor to design in production code,https://rivet.design/,Active,
Openroll,F25,B2B,,AI-Native Workday,https://www.openroll.com,Active,4
Fixpoint,F25,"B2B, Human Resources",,Uber for AI trainers and human-in-the-loop supervisors,https://fixpoint.co/,Active,2
Bear,F25,"B2B, Marketing",,Marketing Stack for AI Agents,https://usebear.ai,Active,2
Moss,F25,B2B,,Real-time semantic search for Conversational AI,https://usemoss.dev,Active,3
Zarna,F25,"B2B, Finance and Accounting",,AI Associates for Private Capital,https://www.zarnaai.com/,Active,4
MarkIt,F25,"B2B, Supply Chain and Logistics",,AI Agents for Trade Compliance - Saving Companies from Tariffs,https://markittrade.com,Active,2
Dome,F25,"B2B, Infrastructure",,"A unified API for prediction markets, like Kalshi and Polymarket",https://domeapi.io,Active,2
Voltair,W26,"Industrials, Drones",,Self Charging Drones,https://voltairlabs.com/,Active,5
Clicks,F25,"B2B, Productivity",,Computer use agents to automate all back-office work,https://goclicks.ai/,Active,4
Fastshot,F25,"B2B, Engineering, Product and Design",,Lovable for mobile apps,https://www.fastshot.ai/,Active,3
Vector Legal,W26,"B2B, Legal",,AI Law Firm + Legal Tech Platform for Startups,https://vectorlegal.com,Active,3
Claybird,F25,"B2B, Marketing",,The full-stack AI ad company,https://claybird.com/,Active,4
LunaBill,F25,"Healthcare, Healthcare IT",,AI Voice callers for healthcare billing teams,https://lunabill.com/,Active,4
Nerviom,F25,Real Estate and Construction,,AI Autopilot for Infrastructure Permitting,https://www.nerviom.com,Active,1
Velvet,F25,B2B,,Data for world models,https://velvet.video,Active,2
DiligenceSquared,F25,"B2B, Analytics",,AI-powered market due diligence for investment decisions,https://diligencesquared.com/,Active,3
Amera,F25,"Fintech, Insurance",,Automating claims processing workflows for health insurance payers.,https://amerahealthsolutions.com/,Active,2
Forge Robotics,F25,"Industrials, Manufacturing and Robotics",,A robotics intelligence system for metal fabrication,https://forge-robotics.com,Active,3
Bluma,F25,"B2B, Marketing",,Canva for short-form video ads,https://www.getbluma.com,Active,2
Lightberry,F25,"Industrials, Manufacturing and Robotics",,The social brain for robots.,https://lightberry.com,Active,3
The Hog,F25,"B2B, Marketing",,AI Demand Gen for Companies,https://thehog.ai/,Active,2
Telemetron,F25,B2B,,Support and Operations Platform for Hardware Companies,https://www.telemetron.ai/,Active,2
Boom AI,F25,B2B,,AI growth team for e-commerce brands,https://useboom.ai,Active,3
Freeport Markets,F25,"Fintech, Consumer Finance",,Tradable Twitter Feed,https://www.freeportmarkets.com/,Active,3
Miniswap,F25,"Consumer, Gaming",,The Marketplace for Complex Hobbies,https://miniswap.gg/,Active,2
Rovi Health,F25,Healthcare,,AI healthcare concierge for employees,https://www.rovi.health,Active,3
Castari,F25,"B2B, Infrastructure",,Vercel for AI Agents – One click deploy for the Claude Agent SDK,https://castari.com,Active,3
General Astronautics,W26,"Industrials, Manufacturing and Robotics",,The Space Robotics Company,https://generalastro.com/,Active,2
Jarmin,F25,B2B,,24/7 Machine Learning Engineer employees,https://jarmin.ai/,Active,
Exonic,F25,"Healthcare, Drug Discovery and Delivery",,Unsupervised Biological AI,https://exonic.ai,Active,3
Lemma,F25,"B2B, Engineering, Product and Design",,Continuous learning for AI agents,https://www.uselemma.ai/,Active,2
Mantle,F25,"B2B, Operations",,Build internal agents to automate back office work with one prompt,https://www.mantle.work,Active,2
Karumi,F25,"B2B, Sales",,The Waymo of Personalized demos,https://www.karumi.ai/,Active,4
Icarus,F25,"Industrials, Defense",,Stratospheric birds for defense,https://www.icarus.one/,Active,16
Sava,F25,Fintech,,Building the future of trusts,https://www.savahq.com,Active,3
Denki,F25,"B2B, Finance and Accounting",,The full-stack AI financial audit firm,https://denki.ai,Active,2
Arcten,F25,"B2B, Engineering, Product and Design",,Building the best coding agents.,https://arcten.com,Active,2
Metorial,F25,B2B,,The infra layer for AI integrations.,https://metorial.com,Active,4
Kalpa Labs,F25,B2B,,Scaling Generalist Speech models,https://kalpalabs.ai/,Active,2
Absurd,F25,"B2B, Marketing",,Agent lab for creative production,https://absurd.com/,Active,4
Clad Labs,F25,Consumer,,the brainrot ide,https://cladlabs.ai,Active,2
Automax.ai,F25,"Real Estate and Construction, Housing and Real Estate",,AI native real-estate appraisal firm,https://automax.ai,Active,4
Specific,F25,"B2B, Engineering, Product and Design",,AWS for coding agents,https://specific.dev,Active,2
Primer,F25,B2B,,AI Product Demos,https://www.startprimer.com,Active,2
Narrative,F25,"B2B, Marketing",,AI-Powered Sports Highlights,http://www.narrative-sports.com,Active,3
Crunched,F25,"B2B, Finance and Accounting",,Excel AI analyst for Power Users,https://usecrunched.com/,Active,5
Lua Global Inc,F25,B2B,,The mid-market agent platform,https://heylua.ai/,Active,5
Spatial AI,F25,B2B,,Data for robot foundational models,https://spatial-ai.com/,Active,
Sourcebot,F25,"B2B, Engineering, Product and Design",,Helping humans and AI agents understand massive codebases,https://www.sourcebot.dev/,Active,2
Zalos,F25,"B2B, Operations",,"Computer Agents for Finance tasks like reconciliation, in your system!",https://www.zalos.ai/,Active,2
HireGlide,F25,"B2B, Recruiting and Talent",,The AI-native job board,https://www.hireglide.ai/,Active,2
Aside,F25,"B2B, Sales",,Live answer copilot for enterprise tech sales,https://asidehq.com/,Active,3
Scott AI,F25,B2B,,Agentic Workspace for Engineering Team Alignment,https://tryscott.ai,Active,2
Everest,F25,B2B,,AI agents for IT services,https://everestmanagedai.com/,Active,
Expected Parrot,F25,B2B,,Simulate your customers with AI agents,https://www.expectedparrot.com,Active,5
Imagine AI,F25,"B2B, Sales",,We build B2B content for your entire team,https://imagineai.me,Active,2
Anto Biosciences,F25,Healthcare,,A Foundation Model for Microbial Communities.,https://www.anto.bio/,Active,2
